"Title","Description","Tags","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath"
"Weights_ContextVAE_Mouse","Weights for the full context (gene lcpms) VAE of mouse contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCm39","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Mus musculus","10090",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","character","kerasHDF5ModelWeights","https://zenodo.org/record/7554915/files/","ContextVAE_ARCHS4_v212_Mouse.weights.hdf5"
"Weights_ContextVAE_Human","Weights for the full context (gene lcpms) VAE of human contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCh38","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Homo sapiens","9606",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","character","kerasHDF5ModelWeights","https://zenodo.org/record/7554915/files/","ContextVAE_ARCHS4_v212_Human.weights.hdf5"
"Weights_DeltaCVAE_Mouse","Weights for the full contrast (gene lcpm deltas i.e LFCs) conditional VAE of mouse contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCm39","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Mus musculus","10090",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","character","kerasHDF5ModelWeights","https://zenodo.org/record/7554915/files/","DeltaCVAE_FT_ARCHS4_v212_Mouse.weights.hdf5"
"Weights_DeltaCVAE_Human","Weights for the full contrast (gene lcpm deltas i.e LFCs) conditional VAE of human contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCh38","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Homo sapiens","9606",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","character","kerasHDF5ModelWeights","https://zenodo.org/record/7554915/files/","DeltaCVAE_FT_ARCHS4_v212_Human.weights.hdf5"
"ContextEncoder_Mouse","Context (gene lcpms) encoder of mouse contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCm39","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Mus musculus","10090",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","keras.engine.functional.Functional","kerasHDF5Model","https://zenodo.org/record/7554915/files/","ContextEncoder_ARCHS4_v212_Mouse.hdf5"
"ContextEncoder_Human","Context (gene lcpms) encoder of human contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCh38","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Homo sapiens","9606",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","keras.engine.functional.Functional","kerasHDF5Model","https://zenodo.org/record/7554915/files/","ContextEncoder_ARCHS4_v212_Human.hdf5"
"DeltaEncoder_Mouse","Contrast (gene lcpm deltas i.e LFCs) encoder of mouse contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCm39","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Mus musculus","10090",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","keras.engine.functional.Functional","kerasHDF5Model","https://zenodo.org/record/7554915/files/","DeltaEncoder_FT_ARCHS4_v212_Mouse.hdf5"
"DeltaEncoder_Human","Contrast (gene lcpm deltas i.e LFCs) encoder of human contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCh38","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Homo sapiens","9606",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","keras.engine.functional.Functional","kerasHDF5Model","https://zenodo.org/record/7554915/files/","DeltaEncoder_FT_ARCHS4_v212_Human.hdf5"
"DeltaDecoder_Mouse","Contrast (gene lcpm deltas i.e LFCs) decoder of mouse contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCm39","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Mus musculus","10090",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","keras.engine.functional.Functional","kerasHDF5Model","https://zenodo.org/record/7554915/files/","DeltaDecoder_FT_ARCHS4_v212_Mouse.hdf5"
"DeltaDecoder_Human","Contrast (gene lcpm deltas i.e LFCs) decoder of human contrast experiments compiled from ARCHS4","RNASeqData,DifferentialExpression,NeuralNetwork","3.17","GRCh38","HDF5","https://maayanlab.cloud/archs4/","ARCHS4 v2.1.2","Homo sapiens","9606",NA,"Ma'ayan Laboratory (https://labs.icahn.mssm.edu/maayanlab/)","Panagiotis Papasaikas <panagiotis.papasaikas@fmi.ch>","keras.engine.functional.Functional","kerasHDF5Model","https://zenodo.org/record/7554915/files/","DeltaDecoder_FT_ARCHS4_v212_Human.hdf5"
